YUBIN_7,JYUSYO,JYUSYO2
"2206217","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１７階）","1-1"
"2206218","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１８階）","1-1"
"2206219","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（１９階）","1-1"
"2320025","神奈川県横浜市南区高砂町","1-1"
"2320022","神奈川県横浜市南区高根町","1-1"
"2320056","神奈川県横浜市南区通町","1-1"
"2320063","神奈川県横浜市南区中里","1-1"
"2320062","神奈川県横浜市南区中里町","1-1"
"2320055","神奈川県横浜市南区中島町","1-1"
"2320033","神奈川県横浜市南区中村町","1-1"
"2320074","神奈川県横浜市南区永田山王台","1-1"
"2320076","神奈川県横浜市南区永田台","1-1"
"2440806","神奈川県横浜市戸塚区上品濃","1-1"
"2450053","神奈川県横浜市戸塚区上矢部町","1-1"
"2440805","神奈川県横浜市戸塚区川上町","1-1"
"2450061","神奈川県横浜市戸塚区汲沢","1-1"
"2450062","神奈川県横浜市戸塚区汲沢町","1-1"
"2440004","神奈川県横浜市戸塚区小雀町","1-1"
"2440801","神奈川県横浜市戸塚区品濃町","1-1"
"2440815","神奈川県横浜市戸塚区下倉田町","1-1"
"2440003","神奈川県横浜市戸塚区戸塚町","1-1"
"2440844","神奈川県横浜市栄区田谷町","1-1"
"2470015","神奈川県横浜市栄区中野町","1-1"
"2440843","神奈川県横浜市栄区長尾台町","1-1"
"2470023","神奈川県横浜市栄区長倉町","1-1"
"2440841","神奈川県横浜市栄区長沼町","1-1"
"2470024","神奈川県横浜市栄区野七里","1-1"
"2470004","神奈川県横浜市栄区柏陽","1-1"
"2470021","神奈川県横浜市栄区東上郷町","1-1"
"2470008","神奈川県横浜市栄区本郷台","1-1"
"2470011","神奈川県横浜市栄区元大橋","1-1"
"2470012","神奈川県横浜市栄区若竹町","1-1"
"2450000","神奈川県横浜市泉区以下に掲載がない場合","1-1"
"2450001","神奈川県横浜市泉区池の谷","1-1"
"2450022","神奈川県横浜市泉区和泉が丘","1-1"
"2450024","神奈川県横浜市泉区和泉中央北","1-1"
"2450023","神奈川県横浜市泉区和泉中央南","1-1"
"2450016","神奈川県横浜市泉区和泉町","1-1"
"2450003","神奈川県横浜市泉区岡津町","1-1"
"2450007","神奈川県横浜市泉区桂坂","1-1"
"2450018","神奈川県横浜市泉区上飯田町","1-1"
"2450017","神奈川県横浜市泉区下飯田町","1-1"
"2206220","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（２０階）","1-1"
"2206221","神奈川県横浜市西区みなとみらいクイーンズタワーＣ（２１階）","1-1"
"2208190","神奈川県横浜市西区みなとみらいランドマークタワー（地階・階層不明）","1-1"
"2208101","神奈川県横浜市西区みなとみらいランドマークタワー（１階）","1-1"
"2208102","神奈川県横浜市西区みなとみらいランドマークタワー（２階）","1-1"
"2208103","神奈川県横浜市西区みなとみらいランドマークタワー（３階）","1-1"
"2208104","神奈川県横浜市西区みなとみらいランドマークタワー（４階）","1-1"
"2320075","神奈川県横浜市南区永田みなみ台","1-1"
"2320072","神奈川県横浜市南区永田東","1-1"
"2320073","神奈川県横浜市南区永田南","1-1"
"2320071","神奈川県横浜市南区永田北","1-1"
"2320003","神奈川県横浜市南区西中町","1-1"
"2320037","神奈川県横浜市南区八幡町","1-1"
"2320018","神奈川県横浜市南区花之木町","1-1"
"2320011","神奈川県横浜市南区日枝町","1-1"
"2320045","神奈川県横浜市南区東蒔田町","1-1"
"2320001","神奈川県横浜市南区伏見町","1-1"
"2320026","神奈川県横浜市南区二葉町","1-1"
"2320035","神奈川県横浜市南区平楽","1-1"
"2320064","神奈川県横浜市南区別所","1-1"
"2320065","神奈川県横浜市南区別所中里台","1-1"
"2320042","神奈川県横浜市南区堀ノ内町","1-1"
"2320043","神奈川県横浜市南区蒔田町","1-1"
"2320004","神奈川県横浜市南区前里町","1-1"
"2320021","神奈川県横浜市南区真金町","1-1"
"2440001","神奈川県横浜市戸塚区鳥が丘","1-1"
"2450051","神奈川県横浜市戸塚区名瀬町","1-1"
"2450063","神奈川県横浜市戸塚区原宿","1-1"
"2450065","神奈川県横浜市戸塚区東俣野町","1-1"
"2440802","神奈川県横浜市戸塚区平戸","1-1"
"2440803","神奈川県横浜市戸塚区平戸町","1-1"
"2450067","神奈川県横浜市戸塚区深谷町","1-1"
"2440813","神奈川県横浜市戸塚区舞岡町","1-1"
"2440804","神奈川県横浜市戸塚区前田町","1-1"
"2450066","神奈川県横浜市戸塚区俣野町","1-1"
"2440814","神奈川県横浜市戸塚区南舞岡","1-1"
"2210051","神奈川県横浜市神奈川区幸ケ谷","1-1"
"2210012","神奈川県横浜市神奈川区子安台","1-1"
"2210021","神奈川県横浜市神奈川区子安通","1-1"
"2210811","神奈川県横浜市神奈川区斎藤分町","1-1"
"2210052","神奈川県横浜市神奈川区栄町","1-1"
"2210844","神奈川県横浜市神奈川区沢渡","1-1"
"2210862","神奈川県横浜市神奈川区三枚町","1-1"
"2210075","神奈川県横浜市神奈川区白幡上町","1-1"
"2210071","神奈川県横浜市神奈川区白幡仲町","1-1"
"2210072","神奈川県横浜市神奈川区白幡東町","1-1"
"2210074","神奈川県横浜市神奈川区白幡西町","1-1"
"2210073","神奈川県横浜市神奈川区白幡南町","1-1"
"2210077","神奈川県横浜市神奈川区白幡向町","1-1"
"2208105","神奈川県横浜市西区みなとみらいランドマークタワー（５階）","1-1"
"2208106","神奈川県横浜市西区みなとみらいランドマークタワー（６階）","1-1"
"2208107","神奈川県横浜市西区みなとみらいランドマークタワー（７階）","1-1"
"2208108","神奈川県横浜市西区みなとみらいランドマークタワー（８階）","1-1"
"2208109","神奈川県横浜市西区みなとみらいランドマークタワー（９階）","1-1"
"2208110","神奈川県横浜市西区みなとみらいランドマークタワー（１０階）","1-1"
"2208111","神奈川県横浜市西区みなとみらいランドマークタワー（１１階）","1-1"
"2208112","神奈川県横浜市西区みなとみらいランドマークタワー（１２階）","1-1"
"2208113","神奈川県横浜市西区みなとみらいランドマークタワー（１３階）","1-1"
"2208114","神奈川県横浜市西区みなとみらいランドマークタワー（１４階）","1-1"
"2208115","神奈川県横浜市西区みなとみらいランドマークタワー（１５階）","1-1"
"2320032","神奈川県横浜市南区万世町","1-1"
"2320006","神奈川県横浜市南区南太田","1-1"
"2320012","神奈川県横浜市南区南吉田町","1-1"
"2320002","神奈川県横浜市南区三春台","1-1"
"2320016","神奈川県横浜市南区宮元町","1-1"
"2320066","神奈川県横浜市南区六ツ川","1-1"
"2320041","神奈川県横浜市南区睦町","1-1"
"2320014","神奈川県横浜市南区吉野町","1-1"
"2320057","神奈川県横浜市南区若宮町","1-1"
"2400000","神奈川県横浜市保土ケ谷区以下に掲載がない場合","1-1"
"2400053","神奈川県横浜市保土ケ谷区新井町","1-1"
"2400035","神奈川県横浜市保土ケ谷区今井町","1-1"
"2400023","神奈川県横浜市保土ケ谷区岩井町","1-1"
"2400015","神奈川県横浜市保土ケ谷区岩崎町","1-1"
"2400004","神奈川県横浜市保土ケ谷区岩間町","1-1"
"2400062","神奈川県横浜市保土ケ谷区岡沢町","1-1"
"2400014","神奈川県横浜市保土ケ谷区霞台","1-1"
"2400013","神奈川県横浜市保土ケ谷区帷子町","1-1"
"2210076","神奈川県横浜市神奈川区白幡町","1-1"
"2210031","神奈川県横浜市神奈川区新浦島町","1-1"
"2210013","神奈川県横浜市神奈川区新子安","1-1"
"2210043","神奈川県横浜市神奈川区新町","1-1"
"2210864","神奈川県横浜市神奈川区菅田町","1-1"
"2210033","神奈川県横浜市神奈川区鈴繁町","1-1"
"2210834","神奈川県横浜市神奈川区台町","1-1"
"2210833","神奈川県横浜市神奈川区高島台","1-1"
"2210023","神奈川県横浜市神奈川区宝町","1-1"
"2210063","神奈川県横浜市神奈川区立町","1-1"
"2210825","神奈川県横浜市神奈川区反町","1-1"
"2208116","神奈川県横浜市西区みなとみらいランドマークタワー（１６階）","1-1"
"2208117","神奈川県横浜市西区みなとみらいランドマークタワー（１７階）","1-1"
"2208118","神奈川県横浜市西区みなとみらいランドマークタワー（１８階）","1-1"
"2208119","神奈川県横浜市西区みなとみらいランドマークタワー（１９階）","1-1"
"2208120","神奈川県横浜市西区みなとみらいランドマークタワー（２０階）","1-1"
"2208121","神奈川県横浜市西区みなとみらいランドマークタワー（２１階）","1-1"
"2208122","神奈川県横浜市西区みなとみらいランドマークタワー（２２階）","1-1"
"2208123","神奈川県横浜市西区みなとみらいランドマークタワー（２３階）","1-1"
"2208124","神奈川県横浜市西区みなとみらいランドマークタワー（２４階）","1-1"
"2208125","神奈川県横浜市西区みなとみらいランドマークタワー（２５階）","1-1"
"2208126","神奈川県横浜市西区みなとみらいランドマークタワー（２６階）","1-1"
"2208127","神奈川県横浜市西区みなとみらいランドマークタワー（２７階）","1-1"
"2208128","神奈川県横浜市西区みなとみらいランドマークタワー（２８階）","1-1"
"2208129","神奈川県横浜市西区みなとみらいランドマークタワー（２９階）","1-1"
"2400066","神奈川県横浜市保土ケ谷区釜台町","1-1"
"2400063","神奈川県横浜市保土ケ谷区鎌谷町","1-1"
"2400051","神奈川県横浜市保土ケ谷区上菅田町","1-1"
"2400042","神奈川県横浜市保土ケ谷区上星川","1-1"
"2400025","神奈川県横浜市保土ケ谷区狩場町","1-1"
"2400045","神奈川県横浜市保土ケ谷区川島町","1-1"
"2400001","神奈川県横浜市保土ケ谷区川辺町","1-1"
"2400005","神奈川県横浜市保土ケ谷区神戸町","1-1"
"2400026","神奈川県横浜市保土ケ谷区権太坂","1-1"
"2400034","神奈川県横浜市保土ケ谷区境木町","1-1"
"2400033","神奈川県横浜市保土ケ谷区境木本町","1-1"
"2400043","神奈川県横浜市保土ケ谷区坂本町","1-1"
"2400011","神奈川県横浜市保土ケ谷区桜ケ丘","1-1"
"2400036","神奈川県横浜市保土ケ谷区新桜ケ丘","1-1"
"2400024","神奈川県横浜市保土ケ谷区瀬戸ケ谷町","1-1"
"2400012","神奈川県横浜市保土ケ谷区月見台","1-1"
"2400003","神奈川県横浜市保土ケ谷区天王町","1-1"
"2440002","神奈川県横浜市戸塚区矢部町","1-1"
"2440817","神奈川県横浜市戸塚区吉田町","1-1"
"2330000","神奈川県横浜市港南区以下に掲載がない場合","1-1"
"2330007","神奈川県横浜市港南区大久保","1-1"
"2330001","神奈川県横浜市港南区上大岡東","1-1"
"2330002","神奈川県横浜市港南区上大岡西","1-1"
"2330012","神奈川県横浜市港南区上永谷","1-1"
"2330014","神奈川県横浜市港南区上永谷町","1-1"
"2330003","神奈川県横浜市港南区港南","1-1"
"2340054","神奈川県横浜市港南区港南台","1-1"
"2210036","神奈川県横浜市神奈川区千若町","1-1"
"2210835","神奈川県横浜市神奈川区鶴屋町","1-1"
"2210821","神奈川県横浜市神奈川区富家町","1-1"
"2210064","神奈川県横浜市神奈川区鳥越","1-1"
"2210803","神奈川県横浜市神奈川区中丸","1-1"
"2210061","神奈川県横浜市神奈川区七島町","1-1"
"2210004","神奈川県横浜市神奈川区西大口","1-1"
"2210822","神奈川県横浜市神奈川区西神奈川","1-1"
"2208130","神奈川県横浜市西区みなとみらいランドマークタワー（３０階）","1-1"
"2208131","神奈川県横浜市西区みなとみらいランドマークタワー（３１階）","1-1"
"2208132","神奈川県横浜市西区みなとみらいランドマークタワー（３２階）","1-1"
"2208133","神奈川県横浜市西区みなとみらいランドマークタワー（３３階）","1-1"
"2208134","神奈川県横浜市西区みなとみらいランドマークタワー（３４階）","1-1"
"2208135","神奈川県横浜市西区みなとみらいランドマークタワー（３５階）","1-1"
"2208136","神奈川県横浜市西区みなとみらいランドマークタワー（３６階）","1-1"
"2208137","神奈川県横浜市西区みなとみらいランドマークタワー（３７階）","1-1"
"2208138","神奈川県横浜市西区みなとみらいランドマークタワー（３８階）","1-1"
"2208139","神奈川県横浜市西区みなとみらいランドマークタワー（３９階）","1-1"
"2208140","神奈川県横浜市西区みなとみらいランドマークタワー（４０階）","1-1"
"2208141","神奈川県横浜市西区みなとみらいランドマークタワー（４１階）","1-1"
"2208142","神奈川県横浜市西区みなとみらいランドマークタワー（４２階）","1-1"
"2208143","神奈川県横浜市西区みなとみらいランドマークタワー（４３階）","1-1"
"2400067","神奈川県横浜市保土ケ谷区常盤台","1-1"
"2400022","神奈川県横浜市保土ケ谷区西久保町","1-1"
"2400052","神奈川県横浜市保土ケ谷区西谷町","1-1"
"2400016","神奈川県横浜市保土ケ谷区初音ケ丘","1-1"
"2400017","神奈川県横浜市保土ケ谷区花見台","1-1"
"2400041","神奈川県横浜市保土ケ谷区東川島町","1-1"
"2400031","神奈川県横浜市保土ケ谷区藤塚町","1-1"
"2400044","神奈川県横浜市保土ケ谷区仏向町","1-1"
"2400046","神奈川県横浜市保土ケ谷区仏向西","1-1"
"2400032","神奈川県横浜市保土ケ谷区法泉","1-1"
"2400006","神奈川県横浜市保土ケ谷区星川","1-1"
"2400021","神奈川県横浜市保土ケ谷区保土ケ谷町","1-1"
"2400064","神奈川県横浜市保土ケ谷区峰岡町","1-1"
"2400061","神奈川県横浜市保土ケ谷区峰沢町","1-1"
"2400002","神奈川県横浜市保土ケ谷区宮田町","1-1"
"2400007","神奈川県横浜市保土ケ谷区明神台","1-1"
"2400065","神奈川県横浜市保土ケ谷区和田","1-1"
"2350000","神奈川県横浜市磯子区以下に掲載がない場合","1-1"
"2350016","神奈川県横浜市磯子区磯子","1-1"
"2350019","神奈川県横浜市磯子区磯子台","1-1"
"2350006","神奈川県横浜市磯子区鳳町","1-1"
"2330004","神奈川県横浜市港南区港南中央通","1-1"
"2330008","神奈川県横浜市港南区最戸","1-1"
"2340052","神奈川県横浜市港南区笹下","1-1"
"2330016","神奈川県横浜市港南区下永谷","1-1"
"2330006","神奈川県横浜市港南区芹が谷","1-1"
"2340056","神奈川県横浜市港南区野庭町","1-1"
"2330005","神奈川県横浜市港南区東芹が谷","1-1"
"2330011","神奈川県横浜市港南区東永谷","1-1"
"2330015","神奈川県横浜市港南区日限山","1-1"
"2340051","神奈川県横浜市港南区日野","1-1"
"2340053","神奈川県横浜市港南区日野中央","1-1"
